trade_id,user_id,symbol,side,price,quantity,timestamp
T000001,U00001,SOL,SELL,95.90466917849790540000,1.0602,2026-06-23 19:40:47.539741
T000002,U00001,DOGE,SELL,0.07953321700304219032,2.7361,2026-07-10 04:29:47.539748
T000003,U00001,BTC,SELL,45818.40440855272117500000,1.2156,2026-06-14 12:53:47.539752
T000004,U00001,BTC,SELL,45164.43063289750990500000,7.6486,2026-07-04 04:09:47.539756
T000005,U00001,ETH,SELL,2915.05085646425894100000,6.3353,2026-07-03 21:22:47.539759
T000006,U00001,BTC,SELL,45915.4586554704580500000,2.8227,2026-06-21 11:44:47.539762
T000007,U00001,XRP,SELL,0.6220008628844610840,4.8621,2026-07-11 18:36:47.539766
T000008,U00001,SOL,BUY,102.7756004157649880000,2.0968,2026-06-21 04:34:47.539769
T000009,U00001,BTC,SELL,44131.30620231626392500000,8.2049,2026-06-16 21:21:47.539772
T000010,U00001,SOL,SELL,102.22034927962261180000,3.6072,2026-07-10 11:13:47.539775
T000011,U00001,ADA,SELL,0.5084147231154954800,9.9455,2026-06-15 18:00:47.539780
T000012,U00001,BNB,SELL,304.76235133617576990000,9.9235,2026-07-05 17:43:47.539783
T000013,U00002,BNB,SELL,296.90984312361162120000,7.8164,2026-07-03 10:22:47.539804
T000014,U00002,ADA,SELL,0.48724163741214830850,5.3836,2026-06-29 07:42:47.539808
T000015,U00002,ADA,BUY,0.4967963145877905100,4.9227,2026-06-27 01:49:47.539812
T000016,U00002,BNB,BUY,313.7609412089737560000,3.7918,2026-06-26 00:25:47.539815
T000017,U00002,ADA,SELL,0.5239500359707571650,7.2739,2026-07-12 12:58:47.539818
T000018,U00002,BTC,BUY,44626.91839773473853000000,1.7907,2026-07-13 04:39:47.539822
T000019,U00002,ADA,BUY,0.51263378242378424700,0.4847,2026-06-21 11:33:47.539825
T000020,U00002,BNB,SELL,307.7927667947980410000,9.938,2026-06-30 14:46:47.539828
T000021,U00002,BNB,BUY,287.9289389384657940000,9.0484,2026-06-22 02:57:47.539831
T000022,U00002,ETH,SELL,3119.8703177130458700000,6.8684,2026-06-29 15:54:47.539835
T000023,U00002,XRP,SELL,0.6046859937656044320,8.5674,2026-06-21 11:11:47.539838
T000024,U00002,MATIC,BUY,0.86778147697207030440,6.6805,2026-06-21 21:13:47.539841
